etype	ch	idx	topic	mode
cc	*	1	midicon/fader/1	
cc	*	2	midicon/fader/2	
cc	*	3	midicon/fader/3	
cc	*	4	midicon/fader/4	
cc	*	5	midicon/fader/5	
cc	*	6	midicon/fader/6	
cc	*	7	midicon/fader/7	
cc	*	8	midicon/fader/8	
cc	*	9	midicon/fader/grandmaster	
note	*	29	midicon/playback/1/a	
note	*	30	midicon/playback/1/b	
note	*	31	midicon/playback/1/c	
note	*	32	midicon/playback/2/a	
note	*	33	midicon/playback/2/b	
note	*	34	midicon/playback/2/c	
note	*	35	midicon/playback/3/a	
note	*	36	midicon/playback/3/b	
note	*	37	midicon/playback/3/c	
note	*	38	midicon/playback/4/a	
note	*	39	midicon/playback/4/b	
note	*	40	midicon/playback/4/c	
note	*	41	midicon/playback/5/a	
note	*	42	midicon/playback/5/b	
note	*	43	midicon/playback/5/c	
note	*	44	midicon/playback/6/a	
note	*	45	midicon/playback/6/b	
note	*	46	midicon/playback/6/c	
note	*	47	midicon/playback/7/a	
note	*	48	midicon/playback/7/b	
note	*	49	midicon/playback/7/c	
note	*	50	midicon/playback/8/a	
note	*	51	midicon/playback/8/b	
note	*	52	midicon/playback/8/c	
note	*	22	midicon/shortcut/1	
note	*	23	midicon/shortcut/2	
note	*	24	midicon/shortcut/3	
note	*	25	midicon/shortcut/4	
note	*	26	midicon/shortcut/5	
note	*	27	midicon/shortcut/6	
note	*	28	midicon/shortcut/7	
note	*	89	midicon/blackout/action	
note	*	13	midicon/wheel/1/up	
note	*	14	midicon/wheel/1/down	
note	*	15	midicon/wheel/1/press	
note	*	16	midicon/wheel/2/up	
note	*	17	midicon/wheel/2/down	
note	*	18	midicon/wheel/2/press	
note	*	19	midicon/wheel/3/up	
note	*	20	midicon/wheel/3/down	
note	*	21	midicon/wheel/3/press	
note	*	53	midicon/memory/1	
note	*	54	midicon/memory/2	
note	*	55	midicon/memory/3	
note	*	56	midicon/memory/4	
note	*	57	midicon/memory/5	
note	*	58	midicon/memory/6	
note	*	59	midicon/memory/7	
note	*	60	midicon/memory/8	
note	*	61	midicon/memory/9	
note	*	62	midicon/memory/10	
note	*	63	midicon/memory/11	
note	*	64	midicon/memory/12	
note	*	65	midicon/memory/13	
note	*	66	midicon/memory/14	
note	*	67	midicon/memory/15	
note	*	68	midicon/memory/16	
note	*	69	midicon/memory/17	
note	*	70	midicon/memory/18	
note	*	71	midicon/memory/19	
note	*	72	midicon/memory/20	
note	*	73	midicon/memory/21	
note	*	74	midicon/memory/22	
note	*	75	midicon/memory/23	
note	*	76	midicon/memory/24	
note	*	77	midicon/memory/25	
note	*	78	midicon/memory/26	
note	*	79	midicon/memory/27	
note	*	80	midicon/memory/28	
note	*	81	midicon/memory/29	
note	*	82	midicon/memory/30	
note	*	83	midicon/memory/31	
note	*	84	midicon/memory/32	
note	*	1	midicon/pad/1	
note	*	2	midicon/pad/2	
note	*	3	midicon/pad/3	
note	*	4	midicon/pad/4	
note	*	5	midicon/pad/5	
note	*	6	midicon/pad/6	
note	*	7	midicon/pad/7	
note	*	8	midicon/pad/8	
note	*	9	midicon/pad/9	
note	*	10	midicon/pad/10	
note	*	11	midicon/pad/11	
note	*	12	midicon/pad/12	
cc	*	10	midicon/page/playback	
cc	*	11	midicon/page/memory	
