etype	ch	idx	topic	mode
note	1	1	encPush/1	
note	1	2	encPush/2	
note	1	3	encPush/3	
note	1	4	encPush/4	
note	1	5	encPush/5	
cc	1	6	enc/1	rel
cc	1	7	enc/2	rel
cc	1	8	enc/3	rel
cc	1	9	enc/4	rel
cc	1	10	enc/5	rel
note	1	11	btn/1	
note	1	12	btn/2	
note	1	13	btn/3	
note	1	14	btn/4	
note	1	15	btn/5	
note	1	21	btn/11	
note	1	22	btn/12	
note	1	23	btn/13	
note	1	24	btn/14	
note	1	25	btn/15	
note	1	26	btn/21	
note	1	27	btn/22	
note	1	28	btn/23	
note	1	29	btn/24	
note	1	30	btn/25	
cc_msb	1	16	fader/1	14bit
cc_msb	1	17	fader/2	14bit
cc_msb	1	18	fader/3	14bit
cc_msb	1	19	fader/4	14bit
cc_msb	1	20	fader/5	14bit
cc_lsb	1	48	fader/1	14bit
cc_lsb	1	49	fader/2	14bit
cc_lsb	1	50	fader/3	14bit
cc_lsb	1	51	fader/4	14bit
cc_lsb	1	52	fader/5	14bit
