topic	device	midi_channel	control_id	path_out	scale	enabled	led_color	path_out_long	press_mode
enc/1/delta	midicraft	1	6	/eos/wheel/level	1	1
enc/2/delta	midicraft	1	7	/eos/wheel/pan	1	1
enc/3/delta	midicraft	1	8	/eos/wheel/tilt	1	1
enc/4/delta	midicraft	1	9	/eos/wheel/zoom	1	1
enc/5/delta	midicraft	1	10	/eos/wheel/edge	1	1
fader/1	midicraft	1	16	/eos/sub/1	1	1	yellow
fader/2	midicraft	1	17	/eos/sub/2	1	1	yellow
fader/3	midicraft	1	18	/eos/sub/3	1	1	yellow
fader/4	midicraft	1	19	/eos/sub/4	1	1	yellow
fader/5	midicraft	1	20	/eos/sub/5	1	1	yellow	
__menu_color__					1	yellow
btn/11	midicraft	1	21	/eos/key/stop	1	1	red
btn/12	midicraft	1	22	/menu/video/toggle	1	1	
btn/13	midicraft	1	23		1	1	yellow
btn/14	midicraft	1	24		1	1	yellow
btn/15	midicraft	1	25	/eos/key/group && /eos/key/last && /eos/key/enter	1	1	yellow
btn/21	midicraft	1	26	/eos/key/go_0	1	1	green	/vplayer/mode_toggle	optimistic
btn/22	midicraft	1	27		1	1	green
btn/23	midicraft	1	28		1	1	yellow
btn/24	midicraft	1	29		1	1	yellow
btn/25	midicraft	1	30	/eos/key/group && /eos/key/next && /eos/key/enter	1	1	yellow
