instance	parameter	value
S2L_UNIT_1	Threshold	0
S2L_UNIT_1	Submaster	0
S2L_UNIT_1	Cuelist	0
S2L_UNIT_1	StartCue	0
S2L_UNIT_1	EndCue	0
S2L_UNIT_1	Attack	0
S2L_UNIT_1	Hold	0
S2L_UNIT_1	Release	0
S2L_UNIT_1	Band	0
S2L_UNIT_1	FX_Polarity	0
S2L_UNIT_2	Submaster	0
S2L_UNIT_2	Cuelist	0
S2L_UNIT_2	StartCue	0
S2L_UNIT_1	AutoCueMode	0
S2L_UNIT_1	MinSectionTime	0
S2L_UNIT_1	CooldownAfterSwitch	0
S2L_UNIT_1	RequireConfidenceFrames	0
S2L_UNIT_1	SongCooldownTime	0
S2L_UNIT_2	AutoCueMode	0
S2L_UNIT_2	MinSectionTime	0
S2L_UNIT_2	CooldownAfterSwitch	0
S2L_UNIT_2	RequireConfidenceFrames	0
S2L_UNIT_2	SongCooldownTime	0
S2L_UNIT_3	AutoCueMode	0
S2L_UNIT_3	MinSectionTime	0
S2L_UNIT_3	CooldownAfterSwitch	0
S2L_UNIT_3	RequireConfidenceFrames	0
S2L_UNIT_3	SongCooldownTime	0
S2L_UNIT_4	AutoCueMode	0
S2L_UNIT_4	MinSectionTime	0
S2L_UNIT_4	CooldownAfterSwitch	0
S2L_UNIT_4	RequireConfidenceFrames	0
S2L_UNIT_4	SongCooldownTime	0
S2L_UNIT_5	AutoCueMode	0
S2L_UNIT_5	MinSectionTime	0
S2L_UNIT_5	CooldownAfterSwitch	0
S2L_UNIT_5	RequireConfidenceFrames	0
S2L_UNIT_5	SongCooldownTime	0
S2L_UNIT_6	AutoCueMode	0
S2L_UNIT_6	MinSectionTime	0
S2L_UNIT_6	CooldownAfterSwitch	0
S2L_UNIT_6	RequireConfidenceFrames	0
S2L_UNIT_6	SongCooldownTime	0
S2L_UNIT_7	AutoCueMode	0
S2L_UNIT_7	MinSectionTime	0
S2L_UNIT_7	CooldownAfterSwitch	0
S2L_UNIT_7	RequireConfidenceFrames	0
S2L_UNIT_7	SongCooldownTime	0
S2L_UNIT_8	AutoCueMode	0
S2L_UNIT_8	MinSectionTime	0
S2L_UNIT_8	CooldownAfterSwitch	0
S2L_UNIT_8	RequireConfidenceFrames	0
S2L_UNIT_8	SongCooldownTime	0
S2L_UNIT_9	AutoCueMode	0
S2L_UNIT_9	MinSectionTime	0
S2L_UNIT_9	CooldownAfterSwitch	0
S2L_UNIT_9	RequireConfidenceFrames	0
S2L_UNIT_9	SongCooldownTime	0
S2L_UNIT_10	AutoCueMode	0
S2L_UNIT_10	MinSectionTime	0
S2L_UNIT_10	CooldownAfterSwitch	0
S2L_UNIT_10	RequireConfidenceFrames	0
S2L_UNIT_10	SongCooldownTime	0
S2L_UNIT_2	EndCue	0
S2L_UNIT_2	Threshold	0
S2L_UNIT_2	Attack	0
S2L_UNIT_2	Hold	0
S2L_UNIT_2	Release	0
S2L_UNIT_2	FX_Polarity	0
S2L_UNIT_2	Band	0
S2L_UNIT_3	Submaster	0
S2L_UNIT_3	Cuelist	0
S2L_UNIT_3	StartCue	0
S2L_UNIT_3	EndCue	0
S2L_UNIT_3	Threshold	0
S2L_UNIT_3	Attack	0
S2L_UNIT_3	Hold	0
S2L_UNIT_3	Release	0
S2L_UNIT_3	FX_Polarity	0
S2L_UNIT_3	Band	0
S2L_UNIT_4	Submaster	0
S2L_UNIT_4	Cuelist	0
S2L_UNIT_4	StartCue	0
S2L_UNIT_4	EndCue	0
S2L_UNIT_4	Threshold	0
S2L_UNIT_4	Attack	0
S2L_UNIT_4	Hold	0
S2L_UNIT_4	Release	0
S2L_UNIT_4	FX_Polarity	0
S2L_UNIT_4	Band	0
S2L_UNIT_5	Submaster	0
S2L_UNIT_5	Cuelist	0
S2L_UNIT_5	StartCue	0
S2L_UNIT_5	EndCue	0
S2L_UNIT_5	Threshold	0
S2L_UNIT_5	Attack	0
S2L_UNIT_5	Hold	0
S2L_UNIT_5	Release	0
S2L_UNIT_5	FX_Polarity	0
S2L_UNIT_5	Band	0
S2L_UNIT_6	Submaster	0
S2L_UNIT_6	Cuelist	0
S2L_UNIT_6	StartCue	0
S2L_UNIT_6	EndCue	0
S2L_UNIT_6	Threshold	0
S2L_UNIT_6	Attack	0
S2L_UNIT_6	Hold	0
S2L_UNIT_6	Release	0
S2L_UNIT_6	FX_Polarity	0
S2L_UNIT_6	Band	0
S2L_UNIT_7	Submaster	0
S2L_UNIT_7	Cuelist	0
S2L_UNIT_7	StartCue	0
S2L_UNIT_7	EndCue	0
S2L_UNIT_7	Threshold	0
S2L_UNIT_7	Attack	0
S2L_UNIT_7	Hold	0
S2L_UNIT_7	Release	0
S2L_UNIT_7	FX_Polarity	0
S2L_UNIT_7	Band	0
S2L_UNIT_8	Submaster	0
S2L_UNIT_8	Cuelist	0
S2L_UNIT_8	StartCue	0
S2L_UNIT_8	EndCue	0
S2L_UNIT_8	Threshold	0
S2L_UNIT_8	Attack	0
S2L_UNIT_8	Hold	0
S2L_UNIT_8	Release	0
S2L_UNIT_8	FX_Polarity	0
S2L_UNIT_8	Band	0
S2L_UNIT_9	Submaster	0
S2L_UNIT_9	Cuelist	0
S2L_UNIT_9	StartCue	0
S2L_UNIT_9	EndCue	0
S2L_UNIT_9	Threshold	0
S2L_UNIT_9	Attack	0
S2L_UNIT_9	Hold	0
S2L_UNIT_9	Release	0
S2L_UNIT_9	FX_Polarity	0
S2L_UNIT_9	Band	0
S2L_UNIT_10	Submaster	0
S2L_UNIT_10	Cuelist	0
S2L_UNIT_10	StartCue	0
S2L_UNIT_10	EndCue	0
S2L_UNIT_10	Threshold	0
S2L_UNIT_10	Attack	0
S2L_UNIT_10	Hold	0
